State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Utah,2018,Utah2018,,"175,401.26",12.89,3.53,3.64,7.57,9.83,26.51,7.13,18.14,68.84,12.44,24.02,10.93,51.47,232.87,36.14,39.48,4.27,14.49,5.95,13.31,79.16,8.39,11.83,22.13,29.26,60148,29.11,15.02,0.56,3.42,1.09,0.37,9.23,84.52,49.06,48.35
Vermont,2018,Vermont2018,,"94,687.14",11.89,3.48,4.02,6.52,15.63,27.06,8.27,20.21,68.38,20.34,35.31,5.02,89.23,345.60,44.57,44.50,3.42,14.24,6.75,17.20,79.11,8.92,3.67,19.28,30.03,54744,18.87,20.08,0.93,0.49,1.13,0.04,1.83,93.92,50.32,75.37
Virginia,2018,Virginia2018,,"1,086,832.23",16.64,3.63,3.69,8.52,16.91,30.64,8.00,24.46,68.37,16.66,28.82,11.11,63.49,148.08,43.39,47.02,4.33,19.05,8.95,14.81,77.51,11.76,6.05,19.95,35.50,57947,20.11,19.03,18.53,0.55,2.28,0.09,5.58,71.27,50.60,52.36
Washington,2018,Washington2018,,"243,177.68",14.88,3.96,3.96,6.29,14.69,30.27,7.47,19.03,75.11,17.44,35.99,8.23,65.23,248.23,37.85,36.62,5.83,18.94,7.66,17.38,79.81,10.18,9.88,15.81,29.75,57017,21.40,20.19,1.43,3.09,2.97,0.40,14.54,75.65,49.86,44.79
West Virginia,2018,West Virginia2018,,"566,154.40",22.58,5.12,5.12,9.31,22.45,36.96,7.63,28.73,54.18,12.13,30.85,6.79,56.24,81.18,37.42,38.35,5.91,26.49,9.53,10.67,75.31,14.96,6.33,45.77,38.87,41752,19.97,20.65,2.23,0.27,0.50,0.03,1.38,94.31,50.02,69.20
Wisconsin,2018,Wisconsin2018,,"474,343.31",13.83,3.49,3.55,6.42,16.03,32.26,8.38,21.08,72.62,24.18,36.62,7.14,67.52,131.46,49.33,47.58,3.60,15.68,8.59,13.52,79.32,9.86,5.41,15.86,31.86,55833,21.29,19.66,1.69,3.04,1.40,0.06,3.87,88.88,49.55,60.11
Wyoming,2018,Wyoming2018,,"158,867.15",14.02,3.45,3.47,7.87,16.13,27.73,7.83,23.60,73.62,18.24,34.97,14.13,63.63,263.22,34.35,37.61,4.00,13.06,4.63,11.54,79.46,8.83,7.31,18.32,29.68,60179,22.94,18.03,0.86,2.22,0.86,0.08,8.61,86.44,48.99,50.53
Alabama,2017,Alabama2017,,"711,493.91",22.97,4.72,4.71,10.54,20.64,36.91,6.73,31.02,47.64,14.43,27.95,12.56,45.87,52.50,60.76,,30.16,10.33,15.19,15.19,,15.36,7.36,15.34,38.66,40636,22.10,17.81,28.35,0.82,0.80,0.11,3.64,65.12,51.27,67.09
Alaska,2017,Alaska2017,,"180,338.93",17.49,4.07,3.64,5.75,22.55,31.85,6.13,22.39,74.40,20.78,54.02,22.00,85.60,347.95,50.17,,19.46,,27.69,27.69,,7.60,18.92,19.21,32.08,62153,24.15,11.20,1.76,32.27,6.37,0.58,5.20,47.87,46.02,70.36
Arizona,2017,Arizona2017,,"132,296.69",20.30,4.53,4.26,7.13,16.72,28.25,6.07,23.39,67.19,15.83,27.50,13.92,50.30,91.11,55.37,,28.39,6.69,20.03,20.03,,11.10,17.29,20.77,32.28,45738,23.35,20.20,1.88,15.11,1.48,0.20,30.91,50.68,49.70,34.11
Arkansas,2017,Arkansas2017,,"762,283.55",23.17,4.90,4.92,9.05,20.91,36.12,6.28,35.05,53.66,13.84,25.95,11.54,46.34,138.41,55.26,,29.20,10.05,14.07,14.07,,13.85,10.93,14.97,34.73,39234,22.49,19.00,16.03,0.89,0.83,0.13,5.32,75.47,50.53,64.87
California,2017,California2017,,"357,296.79",16.65,3.70,3.80,6.44,12.53,24.18,7.70,18.38,77.72,18.67,31.38,8.97,69.28,316.40,60.19,,20.39,8.64,24.15,24.15,,8.60,6.21,17.59,31.93,60930,22.24,16.97,3.00,3.14,7.69,0.40,30.39,54.47,49.53,28.70
Colorado,2017,Colorado2017,,"379,012.57",14.08,3.39,3.54,9.77,14.93,21.22,7.81,17.55,75.80,18.65,30.22,11.05,68.45,199.13,57.55,,19.22,5.83,16.71,16.71,,6.44,8.81,20.59,26.93,54557,20.53,18.25,1.65,2.12,1.37,0.13,19.72,74.69,48.01,58.68
Connecticut,2017,Connecticut2017,,"43,179.54",11.33,3.01,3.54,7.35,12.76,25.70,8.29,20.44,89.43,19.55,33.81,5.97,72.59,315.97,68.77,,11.88,8.23,16.99,16.99,,8.41,4.90,24.40,31.91,74290,20.01,16.67,6.69,0.52,3.87,0.10,11.75,75.71,50.79,24.17
Delaware,2017,Delaware2017,,"22,340.97",15.96,3.38,3.69,8.51,17.50,31.47,8.23,27.27,79.10,17.07,36.85,7.46,64.15,201.23,70.57,,19.50,9.40,15.74,15.74,,12.33,4.62,23.85,35.16,59286,21.36,18.96,20.34,0.78,3.06,0.11,8.67,65.21,51.66,24.29
District of Columbia,2017,District of Columbia2017,,"7,713.37",13.03,3.01,3.54,9.95,16.69,22.80,8.40,17.40,99.96,28.00,25.00,4.30,114.84,436.31,62.39,,27.60,10.90,21.56,21.56,,8.00,0.79,24.35,36.20,74093,17.75,11.55,46.15,0.62,4.15,0.15,10.93,36.43,52.55,0.00
Florida,2017,Florida2017,,"539,568.03",19.28,4.29,4.12,8.51,18.00,29.85,6.96,27.06,69.03,18.10,30.70,16.06,52.95,99.18,64.51,,25.08,7.45,18.11,18.11,,12.04,9.35,17.56,35.48,47004,19.61,21.25,14.20,0.75,1.74,0.10,13.89,68.06,48.71,37.50
Georgia,2017,Georgia2017,,"1,419,842.76",20.09,4.21,4.01,10.02,19.84,31.93,6.98,27.41,56.25,14.97,24.01,16.77,47.35,69.10,60.13,,30.40,9.93,16.78,16.78,,13.02,7.66,15.64,37.04,44018,22.88,16.60,27.83,0.51,1.39,0.12,6.54,62.56,50.31,60.49
Hawaii,2017,Hawaii2017,,"23,293.91",13.43,3.21,3.21,7.88,13.08,21.88,7.56,20.06,90.78,19.56,39.31,5.24,65.97,170.91,63.26,,12.83,,27.03,27.03,,9.02,7.49,12.00,39.28,66890,17.52,21.70,0.88,0.41,26.55,18.55,9.13,26.78,50.72,33.26
Idaho,2017,Idaho2017,,"295,307.03",16.51,3.87,3.90,6.89,15.13,29.19,7.22,22.41,68.32,15.89,30.84,15.27,52.40,113.37,54.36,,19.76,7.21,16.09,16.09,,9.22,11.79,15.93,29.28,48010,25.08,18.18,0.45,2.13,0.85,0.18,12.94,82.50,49.23,61.47
Illinois,2017,Illinois2017,,"738,620.61",15.57,3.88,3.66,7.59,16.29,29.32,8.00,24.78,69.08,20.53,32.34,6.17,47.96,137.74,62.38,,19.22,10.61,11.98,11.98,,10.28,6.65,17.82,30.73,52986,21.62,18.55,5.16,0.38,1.29,0.04,4.99,87.02,49.83,51.09
Indiana,2017,Indiana2017,,"731,636.02",16.49,3.85,4.06,7.55,19.75,32.71,7.98,28.78,64.46,17.55,21.73,11.21,49.81,86.62,60.15,,18.13,11.08,12.24,12.24,,12.04,5.00,21.44,34.08,52606,23.09,16.92,2.75,0.37,1.10,0.05,3.99,90.61,50.16,54.45
Iowa,2017,Iowa2017,,"604,549.12",12.97,2.99,3.24,6.45,15.04,33.14,8.19,26.80,74.84,20.04,26.60,6.34,55.61,84.85,66.84,,15.62,9.65,10.54,10.54,,10.22,5.79,11.32,27.40,54109,22.93,19.51,1.44,0.50,1.25,0.10,4.70,91.13,50.02,61.32
Kansas,2017,Kansas2017,,"638,463.23",14.87,3.18,3.29,6.71,16.11,33.92,7.53,28.42,63.21,15.73,28.70,11.58,61.20,113.33,61.69,,16.34,8.39,11.03,11.03,,10.90,11.17,13.41,29.50,49625,23.69,19.46,1.91,1.28,1.00,0.08,9.91,84.43,49.78,66.89
Kentucky,2017,Kentucky2017,,"1,199,470.67",22.07,4.89,4.57,9.07,22.64,35.23,7.47,31.02,57.81,14.12,29.18,7.54,45.11,131.64,55.40,,29.57,9.99,13.79,13.79,,13.84,4.77,31.38,38.69,42151,22.54,17.08,3.67,0.31,0.61,0.06,2.43,91.68,50.28,71.65
Louisiana,2017,Louisiana2017,,"643,867.88",21.18,4.27,4.38,10.98,21.16,35.91,6.73,31.63,56.25,17.47,33.57,14.29,43.71,179.94,59.43,,31.02,9.56,14.13,14.13,,12.91,9.86,19.07,37.30,42622,23.75,15.45,31.69,0.88,0.95,0.06,3.56,61.67,49.89,51.09
Maine,2017,Maine2017,,"111,031.99",13.51,3.59,4.02,6.95,17.43,29.69,7.78,22.78,64.79,18.84,37.11,11.12,97.11,360.13,68.21,,19.60,7.48,15.51,15.51,,10.20,3.50,20.77,31.89,49085,18.79,21.00,0.98,0.90,0.94,0.04,1.46,94.25,50.84,74.19
Maryland,2017,Maryland2017,,"167,922.64",14.07,3.24,3.69,8.24,14.94,31.53,8.36,24.47,80.94,16.81,33.49,6.95,68.34,193.57,65.04,,15.77,9.77,16.33,16.33,,11.29,4.41,25.95,34.11,70621,21.50,16.88,20.24,0.46,3.55,0.10,5.99,67.82,50.94,34.60
Massachusetts,2017,Massachusetts2017,,"78,512.03",13.16,3.47,4.10,7.15,14.66,23.79,8.49,20.92,90.43,21.17,25.30,3.38,94.90,564.76,73.39,,13.77,8.46,19.15,19.15,,9.33,4.66,26.14,32.58,70211,19.37,17.65,6.06,0.54,4.26,0.09,9.64,77.98,51.47,16.75
Michigan,2017,Michigan2017,,"581,435.80",15.82,4.12,4.19,7.28,18.63,32.25,7.82,23.74,76.02,20.05,34.18,7.94,61.69,156.02,66.31,,22.13,8.88,14.64,14.64,,11.30,6.07,18.16,34.97,47824,20.05,20.73,3.92,1.74,1.11,0.04,3.50,88.01,49.63,61.64
Minnesota,2017,Minnesota2017,,"492,509.01",12.31,3.02,3.04,5.92,15.04,30.05,8.38,23.40,72.25,21.93,32.11,5.64,69.80,121.57,65.67,,4.65,14.27,9.30,12.38,,9.02,7.27,11.59,29.08,57096,22.93,19.11,1.67,2.32,1.57,0.08,4.40,88.68,49.78,61.34
Mississippi,2017,Mississippi2017,,"918,368.09",23.52,4.32,4.26,12.13,20.70,36.74,5.77,35.61,42.94,12.69,22.62,15.85,40.36,88.36,55.65,,6.90,34.82,9.49,16.34,,14.97,10.86,15.43,35.44,37328,23.70,16.27,41.06,0.71,0.62,0.05,2.57,54.19,51.13,70.63
Missouri,2017,Missouri2017,,"968,318.31",19.34,4.64,4.48,7.80,21.73,33.06,7.22,29.32,56.58,16.99,28.38,13.84,45.58,94.28,58.32,,5.05,24.19,9.69,13.34,,12.10,8.46,20.48,32.95,43816,22.65,18.83,3.64,0.66,0.78,0.13,2.92,90.37,50.08,66.80
Montana,2017,Montana2017,,"354,556.81",14.58,3.57,3.45,7.46,17.24,27.18,6.94,24.96,55.32,20.06,45.11,16.40,56.97,155.58,58.09,,4.37,19.14,6.28,13.63,,9.12,16.02,13.66,27.25,46341,21.54,21.17,0.38,8.24,0.53,0.06,2.92,86.18,49.07,75.12
Nebraska,2017,Nebraska2017,,"439,568.84",13.55,3.02,3.08,6.40,15.86,32.64,7.45,27.46,53.76,19.62,37.86,10.81,54.22,95.06,59.55,,3.14,16.44,8.04,10.43,,9.98,12.89,7.33,27.80,50985,23.10,20.93,0.86,1.83,0.67,0.09,6.80,89.14,49.77,74.65
Nevada,2017,Nevada2017,,"113,296.90",16.92,4.08,4.28,8.00,17.63,27.95,7.04,22.98,54.50,19.57,32.75,12.92,47.63,128.24,52.21,,5.67,18.31,5.82,15.36,,9.71,15.20,23.43,34.22,56916,21.01,19.58,2.66,4.45,2.43,0.33,18.40,70.53,47.45,49.50
New Hampshire,2017,New Hampshire2017,,"61,614.17",12.70,3.45,3.93,6.97,15.25,28.26,8.56,21.34,82.18,19.00,31.69,8.55,94.89,280.34,69.55,,2.82,11.05,7.92,16.01,,9.73,4.33,27.96,31.35,63218,18.54,19.07,0.94,0.33,1.98,0.04,2.42,92.97,50.32,55.37
New Jersey,2017,New Jersey2017,,"124,574.17",15.75,3.56,3.64,8.00,14.62,26.84,8.47,23.37,93.24,17.84,23.90,9.30,77.93,177.90,61.41,,5.31,14.32,9.59,21.58,,9.39,4.50,19.30,37.91,75639,21.87,16.03,11.60,0.58,7.46,0.10,17.22,62.13,51.02,12.76
New Mexico,2017,New Mexico2017,,"306,420.53",21.68,4.46,4.12,9.19,16.28,25.25,6.21,22.27,68.18,15.46,30.01,13.05,58.57,426.44,53.28,,7.20,31.04,6.68,15.84,,9.31,18.38,26.95,31.47,41728,22.20,20.20,1.32,8.97,1.10,0.14,47.68,41.57,49.45,48.42
New York,2017,New York2017,,"374,951.97",15.27,3.76,3.90,7.26,17.75,27.92,8.25,25.84,79.58,20.26,24.38,6.73,62.47,189.25,64.20,,5.09,20.04,8.71,17.18,,9.73,4.32,15.82,35.06,57115,20.33,17.54,5.96,0.72,3.03,0.07,7.78,81.17,50.18,44.29
North Carolina,2017,North Carolina2017,,"823,020.14",18.71,3.93,4.21,9.24,18.76,31.48,7.20,26.81,68.25,16.05,29.32,14.05,53.99,152.91,67.06,,5.64,26.10,9.01,16.42,,12.40,5.73,18.64,33.66,45090,21.10,18.99,20.26,1.98,1.36,0.11,7.23,68.02,50.88,61.20
North Dakota,2017,North Dakota2017,,"296,144.86",13.54,2.94,2.82,6.51,17.15,32.68,8.42,27.40,56.86,22.03,48.52,10.48,53.67,112.35,66.47,,3.58,14.37,7.44,8.95,,9.92,11.90,9.27,28.02,55908,22.93,20.02,0.98,6.90,0.73,0.05,3.08,87.13,48.72,82.56
Ohio,2017,Ohio2017,,"688,750.61",16.55,3.86,4.03,7.70,20.26,33.07,7.66,27.79,69.52,17.88,32.57,7.86,51.37,113.98,59.79,,5.42,19.21,11.38,13.19,,12.28,6.04,25.82,37.04,52474,22.59,17.41,4.20,0.30,1.04,0.05,2.69,90.19,50.31,48.22
Oklahoma,2017,Oklahoma2017,,"787,008.50",19.78,4.53,4.63,7.84,18.56,35.01,6.95,32.79,54.62,12.96,26.10,17.46,40.58,291.65,52.95,,5.38,24.24,8.99,12.22,,12.98,11.26,22.74,33.50,44991,24.05,17.63,3.56,11.45,0.91,0.15,9.05,70.61,49.78,63.64
Oregon,2017,Oregon2017,,"231,107.42",15.22,3.84,4.30,6.51,15.88,29.32,7.19,18.53,69.84,18.18,33.21,9.28,72.08,352.84,59.30,,5.60,21.05,7.02,18.83,,10.88,10.42,13.77,30.17,49870,20.76,21.19,0.78,2.56,1.86,0.31,11.85,80.73,49.95,44.37
Pennsylvania,2017,Pennsylvania2017,,"476,080.20",14.28,3.62,4.02,7.53,16.15,31.52,8.15,25.56,51.18,20.04,29.90,7.71,66.78,125.90,64.94,,5.97,19.20,10.37,13.32,,11.27,4.81,24.96,34.86,52553,19.87,19.30,4.43,0.29,1.55,0.05,4.32,88.28,49.95,47.43
Rhode Island,2017,Rhode Island2017,,"26,833.56",12.18,3.54,3.91,6.72,14.59,25.84,8.04,21.80,88.01,20.49,34.32,5.27,106.83,297.36,70.09,,4.93,13.68,7.76,17.72,,8.80,6.76,24.43,33.43,67249,18.70,18.39,3.21,0.70,2.58,0.11,7.67,84.25,51.43,11.51
South Carolina,2017,South Carolina2017,,"442,952.18",20.28,4.35,4.54,10.53,18.61,35.02,6.92,28.18,40.34,16.37,36.29,13.50,50.31,111.16,66.03,,5.68,29.36,9.71,15.46,,14.55,7.91,15.29,37.21,43352,21.70,18.27,35.45,0.66,0.99,0.09,4.58,57.09,51.09,54.98
South Dakota,2017,South Dakota2017,,"419,178.44",13.80,3.35,3.05,6.21,17.43,32.11,6.75,24.01,51.33,18.28,36.34,13.52,58.88,133.43,65.35,,3.27,19.98,7.62,12.06,,10.54,18.90,9.62,26.18,49095,25.02,18.89,0.79,14.25,0.75,0.05,3.06,79.93,49.37,78.15
Tennessee,2017,Tennessee2017,,"946,947.64",20.39,4.84,4.78,8.82,22.15,33.10,7.53,32.89,53.75,13.74,29.84,12.39,46.64,69.88,59.88,,5.66,25.81,9.75,13.97,,13.78,5.85,24.89,35.72,43356,21.56,18.59,7.29,0.48,0.77,0.07,3.54,86.59,50.43,66.44
Texas,2017,Texas2017,,"1,906,210.90",19.78,3.81,3.64,8.16,15.65,29.53,6.97,27.22,56.89,17.89,24.28,20.83,40.87,50.38,52.88,,5.19,25.09,8.21,14.02,,10.89,11.68,11.53,31.77,48738,24.33,17.48,6.24,1.22,1.25,0.09,34.61,56.29,49.18,55.52
Utah,2017,Utah2017,,"170,213.88",12.89,3.53,3.64,7.66,9.83,26.20,7.08,20.37,72.08,12.44,23.39,13.18,49.83,221.57,56.24,,4.81,15.08,6.40,14.00,,8.10,11.83,22.31,29.26,58319,29.34,14.58,0.52,3.45,1.10,0.37,9.10,84.68,48.99,48.35
Vermont,2017,Vermont2017,,"85,611.06",11.89,3.48,4.02,6.46,15.63,26.31,8.23,20.96,72.10,20.34,36.08,5.01,88.41,323.94,67.20,,3.75,15.29,7.55,17.21,,8.42,3.67,16.43,30.03,54235,19.12,19.33,0.90,0.49,1.10,0.04,1.73,94.09,50.35,75.37
Virginia,2017,Virginia2017,,"1,035,199.76",16.64,3.63,3.69,8.53,16.91,29.87,7.95,25.18,69.59,16.66,29.54,11.78,64.48,136.98,63.95,,4.67,19.86,8.79,14.98,,11.38,6.05,17.99,35.50,55602,20.25,18.63,18.50,0.53,2.21,0.08,5.40,71.59,50.62,52.36
Washington,2017,Washington2017,,"247,706.34",14.88,3.96,3.96,6.25,14.69,29.51,7.44,19.74,75.64,17.44,37.33,8.99,66.52,225.72,60.60,,6.83,18.53,6.99,18.04,,10.02,9.88,15.06,29.75,54674,21.50,19.82,1.41,3.07,2.89,0.37,14.24,76.13,49.85,44.79
West Virginia,2017,West Virginia2017,,"535,617.31",22.58,5.12,5.12,9.26,22.45,36.25,7.49,30.13,57.03,12.13,31.56,7.70,57.53,75.52,58.30,,7.00,25.99,9.52,10.63,,14.44,6.33,42.94,38.87,41217,20.06,20.01,2.26,0.26,0.51,0.03,1.35,94.35,50.03,69.20
Wisconsin,2017,Wisconsin2017,,"456,095.25",13.83,3.49,3.55,6.35,16.03,31.81,8.31,22.80,73.54,24.18,36.29,7.28,67.99,124.57,69.39,,4.56,16.30,9.15,14.10,,9.53,5.41,13.67,31.86,54204,21.35,19.33,1.65,3.02,1.36,0.05,3.73,89.16,49.57,60.11
Wyoming,2017,Wyoming2017,,"163,122.42",14.02,3.45,3.47,7.91,16.13,27.52,7.91,24.21,72.54,18.24,34.03,14.08,63.79,247.24,53.43,,5.02,12.13,6.57,11.61,,8.87,7.31,21.03,29.68,59478,23.14,17.14,0.86,2.18,0.84,0.09,8.60,86.49,49.02,50.53
Alabama,2016,Alabama2016,"75,262.00","702,236.00",22.43,4.66,4.59,10.55,20.12,36.13,6.24,29.98,47.37,12.81,31.71,15.02,45.45,50.49,60.76,,7.04,31.63,10.33,15.41,,15.49,7.27,15.01,38.75,39830,22.23,17.36,28.36,0.81,0.78,0.11,3.61,65.22,51.27,67.09
Alaska,2016,Alaska2016,"7,060.00","141,016.10",16.05,3.91,3.50,5.70,21.37,31.34,6.07,21.45,45.45,20.74,50.36,24.28,80.27,368.31,51.52,,8.58,18.39,,27.37,,7.04,15.07,17.38,33.60,62765,24.29,10.11,2.08,31.10,7.06,0.70,5.60,47.41,45.31,70.36
Arizona,2016,Arizona2016,"70,310.00","132,682.80",20.21,4.30,4.27,7.12,17.51,28.77,5.73,22.52,62.97,15.52,27.39,17.55,51.09,86.49,55.37,,8.80,28.83,6.69,20.61,,11.09,14.93,19.37,33.17,44017,23.53,19.65,1.98,14.81,1.49,0.20,30.80,50.97,49.66,34.11
Arkansas,2016,Arkansas2016,"44,590.00","750,846.20",23.43,4.80,4.33,9.12,20.84,35.90,5.88,33.87,45.07,12.80,27.05,14.32,47.13,131.71,55.26,,6.02,31.21,10.05,14.21,,13.31,9.15,13.84,34.98,38593,22.58,18.70,15.96,0.91,0.82,0.11,5.21,75.68,50.55,64.87
California,2016,California2016,"317,975.00","355,654.00",16.72,3.95,3.81,6.38,12.68,24.13,7.26,17.81,81.99,18.46,30.48,13.31,70.64,299.19,60.19,,7.55,22.25,8.64,24.30,,8.77,6.06,17.69,31.31,57651,22.33,16.49,3.04,3.14,7.64,0.40,30.13,54.79,49.52,28.70
Colorado,2016,Colorado2016,"46,461.00","359,848.10",13.50,3.36,3.37,9.74,15.29,20.68,7.26,16.86,70.90,17.54,29.02,13.71,72.96,191.43,57.55,,4.02,20.78,5.83,16.71,,6.48,9.87,18.82,27.21,53811,20.68,17.81,1.59,2.09,1.36,0.13,19.80,74.76,48.00,58.68
Connecticut,2016,Connecticut2016,"32,235.00","42,495.70",12.51,3.20,3.57,7.39,13.48,25.59,7.98,20.21,91.35,19.39,33.70,7.20,73.25,298.22,68.77,,5.49,13.14,8.23,17.02,,8.48,4.53,20.39,32.95,72445,20.25,16.23,6.66,0.52,3.80,0.10,11.50,76.09,50.83,24.17
Delaware,2016,Delaware2016,"10,923.00","22,153.10",16.20,3.48,3.79,8.28,17.37,30.50,7.93,25.23,77.48,15.86,38.36,9.76,65.23,188.32,70.57,,5.03,20.10,9.40,15.83,,11.67,5.41,19.97,36.43,58722,21.53,18.37,20.16,0.79,3.00,0.11,8.64,65.51,51.62,24.29
District of Columbia,2016,District of Columbia2016,"7,354.00","7,666.90",12.62,3.22,3.35,10.04,16.24,22.40,8.00,16.70,100.00,26.16,26.85,5.94,113.37,438.39,62.39,,6.91,28.30,10.90,22.07,,8.10,0.95,16.33,33.70,73115,17.57,11.46,46.70,0.56,4.21,0.16,10.58,36.15,52.61,0.00
Florida,2016,Florida2016,"228,026.00","532,153.10",16.44,4.03,4.14,8.40,17.02,29.82,6.65,26.66,70.87,17.66,32.83,19.73,53.14,94.26,64.51,,5.66,27.28,7.45,18.50,,12.03,8.30,15.15,34.33,45390,19.72,20.81,14.29,0.73,1.73,0.10,13.71,68.18,48.70,37.50
Georgia,2016,Georgia2016,"116,817.00","1,390,769.60",19.61,4.23,3.99,10.15,18.39,31.39,6.46,27.12,55.57,15.25,24.59,18.93,47.11,64.67,60.13,,6.65,31.96,9.93,16.84,,12.69,7.22,14.80,38.41,42510,23.06,16.21,27.81,0.50,1.37,0.13,6.42,62.75,50.29,60.49
Hawaii,2016,Hawaii2016,"13,046.00","22,964.40",13.09,3.06,2.88,7.84,13.73,21.90,7.14,18.72,88.76,19.84,42.07,6.70,67.52,163.20,63.26,,3.93,17.80,,27.45,,8.76,6.76,11.18,39.14,67566,17.63,20.19,1.08,0.44,26.34,18.05,9.15,27.64,50.25,33.26
Idaho,2016,Idaho2016,"15,933.00","283,807.40",15.61,3.83,3.56,6.80,15.18,28.68,6.74,21.42,59.99,15.00,31.35,18.36,53.61,109.05,54.36,,4.68,20.55,7.21,16.16,,9.24,11.37,15.19,31.23,46685,25.16,17.73,0.44,2.07,0.86,0.17,12.77,82.77,49.34,61.47
Illinois,2016,Illinois2016,"132,343.00","738,678.50",14.18,3.63,3.60,7.65,15.66,29.97,7.73,24.33,61.50,19.30,32.25,8.99,46.78,125.33,62.38,,6.15,20.19,10.61,11.99,,10.51,6.33,15.94,31.76,52188,21.71,18.18,5.18,0.37,1.28,0.04,4.93,87.12,49.90,51.09
Indiana,2016,Indiana2016,"82,008.00","723,218.20",15.77,3.83,3.96,7.54,17.94,32.36,7.69,28.17,60.52,16.33,22.66,14.08,49.87,82.53,60.15,,4.81,18.87,11.08,12.28,,12.04,4.33,19.46,34.83,50967,23.23,16.52,2.76,0.36,1.06,0.05,3.92,90.76,50.18,54.45
Iowa,2016,Iowa2016,"31,672.00","607,932.00",11.98,3.09,3.17,6.48,16.11,32.58,7.86,25.68,62.08,19.01,25.47,7.84,56.58,77.65,66.84,,3.68,15.81,9.65,10.57,,10.28,5.85,10.97,27.77,53145,22.93,19.22,1.37,0.48,1.19,0.09,4.56,91.46,50.11,61.32
Kansas,2016,Kansas2016,"30,612.00","650,974.20",15.06,3.24,3.14,6.82,16.82,32.43,6.97,26.90,53.85,15.33,29.71,13.13,59.05,111.15,61.69,,3.96,17.72,8.39,10.79,,10.88,12.49,13.99,29.90,49376,23.75,19.11,1.93,1.25,0.96,0.08,9.85,84.57,49.70,66.89
Kentucky,2016,Kentucky2016,"66,250.00","1,177,112.70",21.40,4.93,4.26,9.16,23.02,34.23,7.14,30.60,53.39,13.24,29.47,10.52,47.16,121.98,55.40,,6.52,30.40,9.99,13.64,,13.27,4.13,28.73,38.42,41152,22.61,16.69,3.74,0.30,0.59,0.06,2.37,91.73,50.29,71.65
Louisiana,2016,Louisiana2016,"66,981.00","632,048.10",21.75,4.48,4.46,10.90,20.81,36.18,6.39,31.17,54.73,16.85,32.66,17.39,43.51,111.57,59.43,,7.24,30.73,9.56,13.88,,12.89,9.62,17.88,36.00,42975,23.85,15.02,31.74,0.85,0.97,0.06,3.48,61.72,49.92,51.09
Maine,2016,Maine2016,"15,859.00","107,943.30",13.36,3.64,3.74,6.76,16.88,28.91,7.40,21.64,59.33,18.10,36.62,13.52,98.13,347.59,68.21,,4.90,20.58,7.48,15.40,,10.19,3.24,15.62,31.74,46778,18.94,20.43,0.94,0.89,0.91,0.03,1.45,94.37,50.86,74.19
Maryland,2016,Maryland2016,"61,694.00","162,245.30",13.37,3.33,3.47,8.28,14.72,31.01,8.13,23.65,79.87,16.51,34.07,8.35,69.15,181.03,65.04,,5.77,16.70,9.77,16.32,,11.06,3.93,19.27,35.85,68852,21.58,16.47,20.13,0.45,3.51,0.10,5.81,68.22,50.91,34.60
Massachusetts,2016,Massachusetts2016,"60,536.00","75,074.30",13.26,3.48,4.00,7.15,14.83,23.29,8.24,19.38,89.58,19.99,24.88,4.00,96.02,528.60,73.39,,5.35,15.31,8.46,19.30,,9.06,4.63,21.38,34.04,67473,19.54,17.10,5.84,0.53,4.20,0.09,9.42,78.50,51.44,16.75
Michigan,2016,Michigan2016,"120,584.00","581,664.60",14.34,3.75,3.75,7.22,18.24,32.08,7.46,23.59,72.61,19.59,34.46,11.05,62.13,144.68,66.31,,6.20,23.49,8.88,15.03,,11.37,5.41,16.26,32.38,46488,20.19,20.25,3.95,1.71,1.09,0.04,3.47,88.10,49.64,61.64
Minnesota,2016,Minnesota2016,"45,858.00","486,104.70",12.30,3.16,2.99,5.87,15.78,29.60,8.09,22.00,60.50,20.75,33.47,7.26,69.95,113.40,65.67,,4.35,14.63,9.30,12.46,,8.86,7.89,11.32,27.17,55765,22.98,18.73,1.53,2.27,1.54,0.07,4.28,89.05,49.85,61.34
Mississippi,2016,Mississippi2016,"47,318.00","891,996.90",24.04,4.57,4.32,12.32,20.85,36.81,5.13,33.54,43.26,12.22,22.95,18.18,41.38,83.11,55.65,,7.72,35.65,9.49,16.44,,14.66,10.17,14.94,36.31,36835,23.86,15.85,40.94,0.70,0.60,0.05,2.51,54.40,51.10,70.63
