State,Year,State-Year,Deaths,Years of Potential Life Lost Rate,% Fair or Poor Health,Average Number of Physically Unhealthy Days,Average Number of Mentally Unhealthy Days,% Low birthweight,% Adult smoking,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,% Uninsured,Primary Care Physicians Rate,Mental Health Provider Rate,% With Annual Mammogram,% Flu Vaccinated,% Unemployed,% Children in Poverty,Average Daily PM2.5,% Severe Housing Problems,Life Expectancy,% Adults with Diabetes,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,% Insufficient Sleep,Median Household Income,% Less Than 18 Years of Age,% 65 and Over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Non-Hispanic White,% Female,% Rural
Oklahoma,2020,Oklahoma2020,"60,857.00","9,106.32",20.86,4.50,4.82,8.04,19.90,34.50,5.80,27.80,71.30,14.91,26.52,16.63,60.89,409.88,38.00,49.00,3.29,19.70,8.20,13.99,76.05,12.30,8.62,18.05,37.50,54447,24.06,16.05,7.42,9.38,2.38,0.22,11.07,65.01,50.45,33.76
Oregon,2020,Oregon2020,"47,319.00","5,918.71",18.19,4.65,4.79,6.52,15.74,29.30,7.80,17.30,87.86,19.49,31.50,8.44,94.18,551.01,42.00,44.00,3.74,13.60,6.35,19.07,79.88,9.70,5.38,13.48,32.84,66955,20.55,18.16,1.96,1.83,4.85,0.46,13.44,75.05,50.43,18.97
Pennsylvania,2020,Pennsylvania2020,"165,460.00","7,451.21",17.59,3.96,4.68,8.26,17.92,30.80,8.40,22.00,84.39,20.20,26.24,6.71,80.98,220.11,45.00,53.00,4.38,16.50,9.00,14.67,78.45,11.00,4.57,36.91,38.63,63455,20.58,18.70,10.89,0.40,3.76,0.08,7.81,75.72,50.99,21.34
Rhode Island,2020,Rhode Island2020,"11,683.00","6,015.59",16.51,3.88,4.15,7.49,15.21,28.50,8.20,23.50,94.93,19.67,41.55,4.79,99.40,424.12,51.00,45.00,3.56,16.50,6.10,17.98,79.84,10.10,4.72,29.72,36.73,70383,19.30,17.66,6.13,1.08,3.73,0.20,16.30,71.36,51.32,9.27
South Carolina,2020,South Carolina2020,"76,331.00","8,743.53",17.82,4.01,4.72,9.61,18.66,34.00,6.70,26.00,68.26,17.84,31.81,12.70,66.95,183.04,47.00,49.00,2.85,19.90,8.95,14.53,77.12,13.30,9.13,21.37,38.78,56360,21.58,18.20,26.42,0.55,1.83,0.10,5.96,63.66,51.58,33.67
South Dakota,2020,South Dakota2020,"10,096.00","7,328.20",13.45,2.97,3.26,6.60,20.19,32.40,6.60,22.00,73.53,24.31,35.52,11.23,76.74,189.45,50.00,48.00,3.29,14.90,5.00,12.22,78.91,10.10,10.55,8.19,30.08,60414,24.54,17.17,2.20,9.04,1.55,0.09,4.22,81.51,49.50,43.35
Tennessee,2020,Tennessee2020,"108,615.00","9,355.47",21.18,4.72,5.18,9.17,20.78,33.30,6.20,27.20,70.18,17.13,24.58,11.99,71.62,157.69,41.00,50.00,3.39,19.40,8.80,14.19,75.98,12.50,8.46,28.00,40.80,56047,22.11,16.74,16.72,0.48,1.96,0.10,5.73,73.50,51.21,33.61
Texas,2020,Texas2020,"302,432.00","6,620.16",18.74,3.80,3.76,8.35,14.24,31.40,5.90,23.20,80.54,18.97,25.70,19.92,60.89,120.87,37.00,46.00,3.51,19.20,7.30,17.42,79.17,10.20,8.67,10.62,34.40,64044,25.52,12.88,12.08,1.02,5.21,0.15,39.75,41.22,50.33,15.30
Utah,2020,Utah2020,"24,722.00","5,881.55",14.81,3.55,3.91,7.14,9.11,27.00,8.00,16.70,85.68,11.10,21.04,10.41,57.95,342.64,40.00,48.00,2.61,9.60,5.80,13.63,80.07,7.50,5.81,19.48,31.20,75705,29.05,11.41,1.19,1.55,2.67,1.06,14.41,77.79,49.63,9.42
Vermont,2020,Vermont2020,"7,408.00","6,277.23",12.76,3.66,4.16,6.79,14.69,27.00,8.70,18.40,75.83,20.45,34.32,4.86,112.09,480.94,45.00,49.00,2.38,10.80,5.40,16.97,79.83,8.80,3.29,22.41,30.11,63293,18.27,20.04,1.31,0.39,1.92,0.04,2.04,92.56,50.59,61.10
